iter	Passed	Remaining
958	2679	114
959	2681	111
960	2683	108
961	2685	106
962	2687	103
963	2689	100
964	2691	97
965	2693	94
966	2695	91
967	2697	89
968	2699	86
969	2702	83
970	2704	80
971	2706	77
972	2707	75
973	2709	72
974	2711	69
975	2712	66
976	2714	63
977	2716	61
978	2718	58
979	2721	55
980	2724	52
981	2727	49
982	2730	47
983	2734	44
984	2736	41
985	2739	38
986	2741	36
987	2743	33
988	2747	30
989	2748	27
990	2750	24
991	2752	22
992	2754	19
993	2756	16
994	2758	13
995	2760	11
996	2762	8
997	2763	5
998	2765	2
999	2766	0
